Rank,NOC,Gold,Silver,Bronze,Total,Athlete,Female,Male
79,Libya,0,0,0,0,7,1,6
79,Liechtenstein,0,0,0,0,3,2,1
79,Luxembourg,0,0,0,0,10,5,5
79,Macedonia,0,0,0,0,6,4,2
79,Madagascar,0,0,0,0,6,4,2
79,Malawi,0,0,0,0,5,2,3
79,Maldives,0,0,0,0,4,2,2
79,Mali,0,0,0,0,6,2,4
79,Malta,0,0,0,0,7,3,4
79,Mauritania,0,0,0,0,2,1,1
79,Mauritius,0,0,0,0,11,6,5
79,Micronesia,0,0,0,0,5,3,2
79,Moldova,0,0,0,0,23,9,14
79,Monaco,0,0,0,0,3,0,3
79,Mozambique,0,0,0,0,6,1,5
79,Burma,0,0,0,0,7,3,4
79,Namibia,0,0,0,0,10,6,4
79,Nauru,0,0,0,0,2,0,2
79,Nepal,0,0,0,0,7,4,3
79,Nicaragua,0,0,0,0,5,2,3
79,Oman,0,0,0,0,4,2,2
79,Pakistan,0,0,0,0,7,3,4
79,Palau,0,0,0,0,5,2,3
79,Palestine,0,0,0,0,1,0,1
79,Panama,0,0,0,0,10,6,4
79,Papua New Guinea,0,0,0,0,8,2,6
79,Paraguay,0,0,0,0,11,5,6
79,Peru,0,0,0,0,29,12,17
79,Rwanda,0,0,0,0,7,3,4
79,Saint Kitts and Nevis,0,0,0,0,7,1,6
79,Saint Lucia,0,0,0,0,5,3,2
79,Samoa,0,0,0,0,8,3,5
79,San Marino,0,0,0,0,5,2,3
79,Sao Tome and Principe,0,0,0,0,3,1,2
79,Saudi Arabia,0,0,0,0,11,4,7
79,Senegal,0,0,0,0,22,16,6
79,Seychelles,0,0,0,0,10,2,8
79,Sierra Leone,0,0,0,0,4,2,2
79,Solomon Islands,0,0,0,0,3,2,1
79,Somalia,0,0,0,0,2,1,1
79,Sri Lanka,0,0,0,0,9,2,7
79,Sudan,0,0,0,0,6,2,4
79,Suriname,0,0,0,0,6,2,4
79,Swaziland,0,0,0,0,2,1,1
79,Syria,0,0,0,0,7,3,4
79,Taiwan,0,0,0,0,56,30,26
79,Tanzania,0,0,0,0,7,2,5
79,Togo,0,0,0,0,5,3,2
79,Tonga,0,0,0,0,7,3,4
79,Turkmenistan,0,0,0,0,9,5,4
79,Uganda,0,0,0,0,21,7,14
79,Uruguay,0,0,0,0,17,5,12
79,Vanuatu,0,0,0,0,4,0,4
79,Virgin Islands,0,0,0,0,7,2,5
79,Yemen,0,0,0,0,3,1,2
79,Zambia,0,0,0,0,7,2,5
79,Zimbabwe,0,0,0,0,35,26,9
