,Rank,NOC,Gold,Population,Silver,Bronze,Total,Athlete,Female,Male
115,79,Cook Islands,0,,0,0,0,9,5,4
116,79,Costa Rica,0,4807850,0,0,0,11,5,6
117,79,Cote d'Ivoire,0,22701556,0,0,0,12,7,5
118,79,Cyprus,0,1165300,0,0,0,16,6,10
119,79,Djibouti,0,887861,0,0,0,7,1,6
120,79,Dominica,0,72680,0,0,0,2,1,1
121,79,Ecuador,0,16144363,0,0,0,38,15,23
122,79,El Salvador,0,6126583,0,0,0,8,3,5
123,79,Equatorial Guinea,0,845060,0,0,0,2,1,1
124,79,Eritrea,0,,0,0,0,12,1,11
125,79,Gabon,0,1725292,0,0,0,6,2,4
126,79,Gambia,0,1990924,0,0,0,4,1,3
127,79,Ghana,0,27409893,0,0,0,16,9,7
128,79,Guam,0,169885,0,0,0,5,2,3
129,79,Guatemala,0,16342897,0,0,0,21,6,15
130,79,Guinea,0,12608590,0,0,0,5,3,2
131,79,Guinea-Bissau,0,1844325,0,0,0,5,2,3
132,79,Guyana,0,767085,0,0,0,6,3,3
133,79,Haiti,0,10711067,0,0,0,10,3,7
134,79,Honduras,0,8075060,0,0,0,30,2,28
135,79,Hong Kong,0,7305700,0,0,0,38,23,15
136,79,Iceland,0,330823,0,0,0,8,5,3
137,79,Iraq,0,36423395,0,0,0,26,0,26
138,79,Kuwait,0,3892115,0,0,0,0,0,0
139,79,Kyrgyzstan,0,5957000,0,0,0,19,7,12
140,79,Laos,0,6802023,0,0,0,6,2,4
141,79,Latvia,0,1978440,0,0,0,32,13,19
142,79,Lebanon,0,5850743,0,0,0,9,5,4
143,79,Lesotho,0,2135022,0,0,0,8,1,7
144,79,Liberia,0,4503438,0,0,0,2,1,1
145,79,Libya,0,6278438,0,0,0,7,1,6
146,79,Liechtenstein,0,37531,0,0,0,3,2,1
147,79,Luxembourg,0,569676,0,0,0,10,5,5
148,79,Macedonia,0,2078453,0,0,0,6,4,2
149,79,Madagascar,0,24235390,0,0,0,6,4,2
150,79,Malawi,0,17215232,0,0,0,5,2,3
151,79,Maldives,0,409163,0,0,0,4,2,2
152,79,Mali,0,17599694,0,0,0,6,2,4
153,79,Malta,0,431333,0,0,0,7,3,4
154,79,Mauritania,0,4067564,0,0,0,2,1,1
155,79,Mauritius,0,1262605,0,0,0,11,6,5
156,79,Micronesia,0,104460,0,0,0,5,3,2
157,79,Moldova,0,3554150,0,0,0,23,9,14
158,79,Monaco,0,37731,0,0,0,3,0,3
159,79,Mozambique,0,27977863,0,0,0,6,1,5
160,79,Burma,0,53897154,0,0,0,7,3,4
161,79,Namibia,0,2458830,0,0,0,10,6,4
162,79,Nauru,0,10222,0,0,0,2,0,2
163,79,Nepal,0,28513700,0,0,0,7,4,3
164,79,Nicaragua,0,6082032,0,0,0,5,2,3
165,79,Oman,0,4490541,0,0,0,4,2,2
166,79,Pakistan,0,188924874,0,0,0,7,3,4
167,79,Palau,0,21291,0,0,0,5,2,3
168,79,Palestine,0,,0,0,0,1,0,1
169,79,Panama,0,3929141,0,0,0,10,6,4
170,79,Papua New Guinea,0,7619321,0,0,0,8,2,6
171,79,Paraguay,0,6639123,0,0,0,11,5,6
172,79,Peru,0,31376670,0,0,0,29,12,17
173,79,Rwanda,0,11609666,0,0,0,7,3,4
174,79,Saint Kitts and Nevis,0,55572,0,0,0,7,1,6
175,79,Saint Lucia,0,184999,0,0,0,5,3,2
176,79,Samoa,0,193228,0,0,0,8,3,5
177,79,San Marino,0,31781,0,0,0,5,2,3
178,79,Sao Tome and Principe,0,190344,0,0,0,3,1,2
179,79,Saudi Arabia,0,31540372,0,0,0,11,4,7
180,79,Senegal,0,15129273,0,0,0,22,16,6
181,79,Seychelles,0,92900,0,0,0,10,2,8
182,79,Sierra Leone,0,6453184,0,0,0,4,2,2
183,79,Solomon Islands,0,583591,0,0,0,3,2,1
184,79,Somalia,0,10787104,0,0,0,2,1,1
185,79,Sri Lanka,0,20966000,0,0,0,9,2,7
186,79,Sudan,0,40234882,0,0,0,6,2,4
187,79,Suriname,0,542975,0,0,0,6,2,4
188,79,Swaziland,0,1286970,0,0,0,2,1,1
